# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "../hisat_align/hisat_index/chr22_with_ERCC92.gtf" "-g" "gene_name" "-o" "counts.txt" "../hisat_align/shuffled_trimmed.pe_001.sorted.bam" "../hisat_align/shuffled_trimmed.pe_002.sorted.bam" "../hisat_align/shuffled_trimmed.pe_003.sorted.bam" "../hisat_align/shuffled_trimmed.pe_004.sorted.bam" "../hisat_align/shuffled_trimmed.pe_005.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_001.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_002.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_003.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_004.sorted.bam" "../bwa_align/unshuffled_trimmed.pe_005.sorted.bam" 
Geneid	../hisat_align/shuffled_trimmed.pe_001.sorted.bam	../hisat_align/shuffled_trimmed.pe_002.sorted.bam	../hisat_align/shuffled_trimmed.pe_003.sorted.bam	../hisat_align/shuffled_trimmed.pe_004.sorted.bam	../hisat_align/shuffled_trimmed.pe_005.sorted.bam	../bwa_align/unshuffled_trimmed.pe_001.sorted.bam
RFPL1S	0	0	0	0	0	0
AC000041.10	0	0	0	0	0	0
RFPL1	0	0	0	0	0	0
AC000035.3	0	0	0	0	0	0
NEFH	1	7	9	0	10	0
THOC5	72	65	72	69	49	0
CTA-256D12.11	0	0	0	0	0	0
NIPSNAP1	39	44	45	54	58	0
NF2	142	127	211	165	153	0
RPEP4	0	0	0	0	0	0
RP1-76B20.11	0	0	0	0	0	0
RP1-76B20.12	0	0	0	0	0	0
CABP7	0	0	0	1	0	0
ZMAT5	18	20	16	11	14	0
UQCR10	41	43	48	44	59	0
ASCC2	83	64	89	76	56	0
MTMR3	7	7	4	14	4	0
RNU6-331P	0	0	0	0	0	0
RP3-394A18.1	2	4	0	1	2	0
MIR6818	0	0	0	0	0	0
HORMAD2-AS1	0	0	0	0	0	0
CNN2P1	1	1	0	0	1	0
HORMAD2	0	0	0	0	0	0
CTA-85E5.7	0	0	0	0	0	0
CTA-85E5.6	46	29	32	34	38	0
RP3-438O4.4	0	0	0	0	0	0
RP1-102K2.6	0	0	0	0	0	0
LIF	0	0	0	0	0	0
RP1-102K2.8	0	0	0	0	0	0
OSM	0	0	0	0	0	0
RP1-102K2.9	0	0	0	0	0	0
GATSL3	2	1	1	5	1	0
RP1-130H16.18	0	0	0	0	0	0
TBC1D10A	5	4	6	5	9	0
SF3A1	184	162	226	178	200	0
CCDC157	4	1	3	2	3	0
RNF215	21	9	16	10	12	0
SEC14L2	49	41	52	42	54	0
RP4-539M6.19	0	0	0	0	0	0
RP4-539M6.20	0	0	1	0	0	0
RNU6-564P	0	0	0	0	0	0
RP4-539M6.21	0	0	0	0	0	0
MTFP1	0	4	3	5	1	0
RP4-539M6.22	0	0	0	0	0	0
RP4-539M6.18	0	1	1	0	0	0
SEC14L3	0	0	0	0	0	0
RP4-539M6.14	0	0	0	0	0	0
SDC4P	0	0	0	0	0	0
SEC14L4	0	0	0	2	0	0
SEC14L6	0	0	0	0	0	0
SIRPAP1	18	14	14	21	25	0
GAL3ST1	0	0	0	0	0	0
PES1	154	148	150	138	139	0
RP1-56J10.8	0	0	0	0	0	0
TCN2	78	86	97	71	85	0
SLC35E4	22	32	25	20	36	0
DUSP18	10	9	11	3	7	0
CTA-963H5.5	0	2	0	1	1	0
OSBP2	10	6	10	8	4	0
MIR3200	0	0	0	0	0	0
EIF4HP2	35	36	26	34	37	0
MORC2-AS1	0	0	0	0	0	0
MORC2	51	40	72	61	64	0
TUG1	87	132	133	120	125	0
TUG1_1	0	0	0	0	0	0
TUG1_2	0	0	0	0	0	0
TUG1_3	0	0	0	0	0	0
TUG1_4	0	0	0	0	0	0
RP3-430N8.11	0	0	0	0	0	0
RP3-430N8.10	0	0	0	0	0	0
RP3-412A9.17	1	0	1	0	0	0
RN7SL633P	0	0	0	0	0	0
SMTN	217	238	219	211	192	0
RP3-412A9.16	0	0	0	0	0	0
SELM	50	36	42	57	35	0
RP3-412A9.12	0	0	0	0	0	0
INPP5J	2	0	0	2	0	0
PLA2G3	0	0	0	0	0	0
RP3-412A9.15	0	0	0	1	0	0
MIR3928	0	0	0	0	0	0
RNF185	39	55	43	50	31	0
RNF185-AS1	0	0	0	0	0	0
LIMK2	162	146	150	204	154	0
RNU6-1128P	0	0	0	0	0	0
PIK3IP1	14	14	12	10	10	0
PIK3IP1-AS1	1	0	0	1	0	0
RNA5SP496	0	0	0	0	0	0
PATZ1	41	36	35	26	36	0
LINC01521	0	2	2	1	4	0
RNU6-338P	0	0	0	0	0	0
DRG1	86	94	80	98	63	0
EIF4ENIF1	23	39	30	34	40	0
RP11-247I13.11	0	1	0	0	1	0
RNU6-28P	0	0	2	0	0	0
SFI1	26	12	16	14	12	0
H2AFZP6	0	0	0	0	0	0
RP11-247I13.6	0	0	0	0	0	0
RP11-247I13.3	27	21	15	20	17	0
PISD	61	50	68	71	79	0
PRR14L	56	67	79	77	70	0
DEPDC5	16	18	19	20	18	0
RN7SL20P	0	0	0	0	0	0
CTA-440B3.1	0	0	0	0	0	0
RNU6-201P	0	0	0	0	0	0
RP1-180M12.1	1	1	0	0	0	0
C22orf24	0	0	0	0	0	0
YWHAH	187	178	195	188	164	0
CTA-342B11.1	0	0	0	0	0	0
CTA-342B11.2	0	0	0	0	0	0
RN7SL305P	0	0	0	0	0	0
SC22CB-1E7.1	341	332	366	273	326	0
SLC5A1	0	0	0	0	0	0
AP1B1P1	0	0	0	0	0	0
RP1-127L4.10	0	0	0	0	0	0
AP1B1P2	0	0	0	0	0	0
RP1-127L4.7	0	0	0	0	0	0
C22orf42	0	0	0	0	0	0
RP1-90G24.8	0	0	0	0	0	0
RFPL3-AS1_1	0	0	0	0	0	0
RFPL2	0	0	0	0	0	0
AL008723.1	0	0	0	0	0	0
IGLCOR22-1	0	0	0	0	0	0
RP1-90G24.10	0	0	0	0	0	0
SLC5A4	0	0	0	0	0	0
CPSF1P1	1	1	0	0	0	0
RP1-90G24.6	0	0	0	0	0	0
RP1-90G24.11	0	0	0	0	0	0
RP1-149A16.12	0	0	0	0	0	0
RFPL3	0	0	0	0	0	0
IGLCOR22-2	0	0	0	0	0	0
RFPL3S	1	0	0	0	0	0
RFPL3-AS1_2	0	0	0	0	0	0
RP1-149A16.3	0	0	0	0	1	0
IGLVIVOR22-2	0	0	0	0	0	0
RP1-149A16.17	0	0	0	0	0	0
RP1-149A16.16	0	0	0	0	1	0
RTCB	157	149	167	153	136	0
BPIFC	0	0	0	0	0	0
FBXO7	147	152	133	118	125	0
SYN3	0	0	0	0	0	0
LL22NC03-104C7.1	0	0	0	0	0	0
RNA5SP497	0	0	0	0	0	0
LL22NC01-116C6.1	0	0	0	0	0	0
TIMP3	50	44	61	46	36	0
CTA-415G2.2	0	0	0	0	2	0
RP1-302D9.1	0	0	0	0	0	0
RP1-302D9.2	0	0	0	0	0	0
RP1-302D9.5	0	0	0	0	0	0
LARGE1	28	12	10	12	16	0
RP1-302D9.3	0	0	0	0	0	0
SC22CB-1D7.1	0	0	0	0	0	0
MIR4764	0	0	0	0	0	0
SNORA50	0	0	0	0	0	0
SNORA76	0	0	0	0	0	0
LARGE-IT1	0	0	0	0	0	0
LARGE-AS1	0	0	0	0	0	0
LL22NC03-32F9.1	0	0	0	0	0	0
LL22NC03-86D4.1	0	0	0	0	0	0
LL22NC03-13G6.2	0	0	0	0	0	0
RP1-101G11.2	0	0	0	0	0	0
RP1-101G11.3	0	0	0	0	0	0
RP1-288L1.5	0	0	0	0	0	0
RP1-288L1.4	0	0	0	0	0	0
ISX-AS1	0	0	0	0	0	0
ISX	0	0	0	0	0	0
LINC01399	0	0	0	0	0	0
CTA-714B7.7	0	0	0	0	0	0
RP3-323A16.1	0	1	5	0	2	0
CTA-714B7.4	0	0	0	0	0	0
COX7BP1	0	0	0	0	0	0
RNU7-167P	0	0	0	0	0	0
HMGXB4	48	37	47	20	44	0
RP3-510H16.3	0	0	0	0	0	0
TOM1	45	26	32	20	35	0
MIR3909	0	0	0	0	0	0
MIR6069	0	0	0	0	0	0
CTA-286B10.7	0	0	0	0	0	0
CTA-286B10.8	0	0	0	0	0	0
HMOX1	73	53	58	60	72	0
MCM5	176	134	151	163	159	0
RP4-569D19.5	0	1	0	0	0	0
RP4-569D19.8	0	0	0	0	0	0
RASD2	0	0	0	0	0	0
MB	0	0	0	0	0	0
CITF22-62D4.1	0	0	0	1	0	0
APOL6	5	16	14	16	20	0
RP1-41P2.7	0	0	0	0	0	0
MRPS16P3	0	0	0	0	0	0
APOL5	0	0	0	0	0	0
RBFOX2	212	236	268	272	252	0
NDUFA9P1	4	2	3	5	3	0
RP1-78B3.1	0	0	0	0	0	0
CTA-212A2.4	0	0	0	0	0	0
CTA-212A2.3	1	3	0	3	3	0
CTA-212A2.2	0	0	0	0	0	0
CTA-212A2.1	0	0	0	0	0	0
APOL3	24	23	31	14	23	0
MTCO1P20	0	0	0	0	0	0
MTCO2P20	0	0	0	0	0	0
MTATP6P20	0	0	0	0	0	0
MTCO3P20	0	0	0	0	0	0
MTCYBP34	0	0	0	0	0	0
MTND1P10	0	0	0	0	0	0
APOL4	0	0	0	0	0	0
APOL2	40	49	51	47	47	0
APOL1	31	53	43	29	44	0
MYH9	4413	4565	4518	4606	4419	0
MIR6819	0	0	0	0	0	0
RP4-633O19__A.1	0	0	2	0	2	0
RPS15AP38	63	56	57	73	62	0
RP5-1119A7.14	0	0	0	0	0	0
TXN2	58	74	68	70	85	0
FOXRED2	31	35	43	37	57	0
EIF3D	274	246	243	299	270	0
RP5-1119A7.11	8	1	4	4	2	0
RP5-1119A7.10	0	0	0	0	0	0
RP5-1119A7.17	0	0	0	0	0	0
CACNG2	0	0	0	0	0	0
RP1-293L6.1	0	0	0	0	0	0
IFT27	48	21	28	38	30	0
PVALB	0	0	0	0	0	0
CITF22-24E5.1	0	0	0	0	0	0
CTA-833B7.2	0	0	0	0	0	0
NCF4	0	2	0	0	0	0
CSF2RB	176	188	209	164	182	0
CSF2RBP1	0	0	0	0	0	0
LL22NC01-81G9.3	0	0	0	0	1	0
TEX33	0	0	0	0	0	0
TST	46	48	38	48	64	0
MPST	102	146	113	134	94	0
KCTD17	33	37	19	51	22	0
RN7SKP214	0	0	0	0	0	0
TMPRSS6	0	0	2	0	0	0
RP5-1170K4.7	0	0	0	0	0	0
IL2RB	0	0	0	0	0	0
RP1-151B14.6	0	0	0	0	0	0
C1QTNF6	72	37	50	58	65	0
SSTR3	0	0	0	0	0	0
RP1-151B14.9	0	0	0	0	0	0
RAC2	178	167	145	152	174	0
CYTH4	0	0	0	0	0	0
ELFN2	0	7	0	6	1	0
RP1-63G5.7	0	0	0	0	0	0
RP1-63G5.8	0	0	0	0	0	0
MFNG	304	299	277	328	313	0
CARD10	60	70	63	103	52	0
RP5-1177I5.3	0	0	0	0	0	0
CDC42EP1	244	225	229	185	177	0
LGALS2	0	4	0	2	1	0
GGA1	39	48	74	26	36	0
SH3BP1	0	0	0	1	0	0
Z83844.1	0	0	0	0	0	0
PDXP	2	0	1	1	1	0
RN7SL385P	0	0	0	0	0	0
LGALS1	858	824	845	844	853	0
NOL12	7	2	5	0	2	0
RP1-37E16.12	0	0	0	0	0	0
TRIOBP	166	211	189	189	172	0
H1F0	94	87	125	107	116	0
GCAT	14	12	18	18	16	0
GALR3	0	0	0	0	0	0
ANKRD54	30	55	21	54	44	0
MIR659	0	0	0	0	0	0
EIF3L	288	283	310	271	322	0
RP5-1014D13.2	4	2	4	5	5	0
RNU6-900P	0	0	0	0	0	0
MICALL1	111	142	101	141	120	0
RP5-1039K5.12	2	0	2	1	2	0
C22orf23	2	4	2	2	1	0
MIR4534	10	6	3	6	5	0
RP5-1039K5.17	0	0	0	0	0	0
POLR2F	0	0	0	2	0	0
SOX10	0	0	0	0	0	0
RP5-1039K5.16	0	0	0	0	0	0
RP5-1039K5.18	0	0	0	0	0	0
PICK1	9	13	17	15	8	0
RP5-1039K5.13	0	0	0	0	0	0
SLC16A8	0	0	0	0	0	0
BAIAP2L2	0	2	0	0	0	0
CTA-228A9.3	0	0	0	0	0	0
PLA2G6	0	0	0	2	0	0
CTA-228A9.4	0	1	1	4	2	0
MAFF	94	75	107	118	103	0
TMEM184B	228	177	215	241	238	0
RP1-5O6.5	0	0	0	0	0	0
RN7SL704P	0	0	0	0	0	0
CSNK1E	227	232	196	176	173	0
RP3-449O17.1	1	0	3	1	4	0
RP1-5O6.4	0	0	0	0	0	0
RP3-434P1.6	0	0	0	0	0	0
KCNJ4	0	0	0	0	0	0
KDELR3	45	36	46	32	66	0
DDX17	475	503	533	512	443	0
DMC1	1	0	0	0	1	0
RP1-199H16.6	0	0	0	0	0	0
FAM227A	1	0	0	4	2	0
CBY1	11	13	12	16	24	0
RP3-508I15.10	0	0	0	0	0	0
RP3-508I15.9	2	0	0	1	1	0
TOMM22	99	83	105	97	121	0
JOSD1	105	124	115	118	123	0
GTPBP1	81	85	76	87	93	0
PRDX3P1	12	16	12	9	11	0
SUN2	119	137	143	136	160	0
RP3-508I15.18	0	0	0	0	0	0
RP3-508I15.19	2	0	0	0	0	0
RP3-508I15.20	0	0	0	0	0	0
RP3-508I15.14	0	0	0	0	0	0
RP3-508I15.21	1	3	1	0	0	0
RP3-508I15.22	0	0	0	0	0	0
DNAL4	3	9	8	18	16	0
NPTXR	10	8	4	4	12	0
CBX6	150	129	123	133	141	0
CTA-150C2.13	0	0	0	0	0	0
APOBEC3A	1	0	0	0	0	0
APOBEC3B	8	9	7	24	8	0
APOBEC3B-AS1	0	0	0	0	0	0
APOBEC3C	21	19	12	20	14	0
APOBEC3D	1	2	1	2	2	0
APOBEC3F	10	7	3	4	2	0
APOBEC3G	0	2	0	6	6	0
CTA-150C2.20	0	0	0	0	0	0
RP4-742C19.12	0	0	0	0	0	0
APOBEC3H	0	0	0	0	0	0
CBX7	4	4	4	2	8	0
COX5BP7	0	0	0	0	0	0
RP4-742C19.13	0	4	0	0	0	0
FUNDC2P4	0	0	0	1	2	0
PDGFB	434	373	375	364	387	0
RP3-333H23.8	0	0	0	0	0	0
RPL3	2561	2650	2703	2738	2646	0
SNORD83B	0	0	0	0	0	0
SNORD83A	0	0	0	0	0	0
SNORD43	0	0	0	0	0	0
SYNGR1	8	8	4	12	13	0
RP3-333H23.9	0	0	0	0	0	0
TAB1	51	52	26	32	36	0
MGAT3	0	0	0	0	0	0
MGAT3-AS1	0	0	0	0	0	0
MIEF1	92	70	84	62	90	0
ATF4	356	328	340	328	327	0
RPS19BP1	58	58	60	58	56	0
CACNA1I	0	0	0	0	0	0
ENTHD1	0	0	0	0	0	0
RP1-172B20.6	0	0	0	0	0	0
RN7SKP210	0	0	0	0	0	0
UQCRFS1P1	81	98	76	63	73	0
GRAP2	0	0	0	0	0	0
RP3-370M22.8	28	13	18	14	12	0
FAM83F	0	0	0	0	0	0
RP3-496C20.1	0	0	0	0	0	0
TNRC6B	35	41	38	36	50	0
RPL7P52	27	29	44	38	32	0
ADSL	84	112	96	109	117	0
SGSM3	113	76	58	94	84	0
RP5-1042K10.10	0	0	0	0	0	0
MKL1	63	81	43	48	41	0
RP5-1042K10.13	0	0	0	0	0	0
RP5-1042K10.12	0	0	0	0	0	0
RP4-591N18.2	0	0	0	0	0	0
COX6B1P3	0	0	0	0	0	0
RPL4P6	2	3	1	4	4	0
GAPDHP37	4	3	1	2	2	0
MCHR1	0	0	0	0	0	0
SLC25A17	28	38	24	34	24	0
RP3-408N23.4	0	1	1	0	1	0
JTBP1	0	0	0	0	0	0
MIR4766	0	0	0	0	0	0
ST13	355	427	436	412	359	0
XPNPEP3	10	18	20	17	17	0
DNAJB7	0	0	0	0	0	0
RNU6-379P	0	0	0	0	0	0
RBX1	71	76	72	94	78	0
RP11-12M9.3	448	451	461	505	465	0
RP11-12M9.4	155	194	158	161	157	0
EP300	137	163	155	219	169	0
RNU6-375P	0	0	0	0	0	0
RP1-85F18.6	0	0	0	0	0	0
EP300-AS1	1	0	0	0	3	0
LRRC37A14P	0	1	0	0	1	0
L3MBTL2	29	41	39	40	38	0
RP4-756G23.5	1	0	0	0	0	0
CHADL	0	0	0	0	2	0
RANGAP1	324	306	404	372	369	0
MIR6889	0	0	0	0	0	0
ZC3H7B	319	308	313	342	310	0
TEF	8	8	18	8	2	0
RNU6-495P	0	0	0	0	0	0
CTA-223H9.9	0	0	0	0	0	0
TOB2	173	170	164	130	124	0
PHF5A	46	40	37	50	54	0
ACO2	88	105	113	119	100	0
POLR3H	43	52	46	55	39	0
CSDC2	0	0	0	0	0	0
PMM1	6	7	14	5	11	0
DESI1	136	117	114	161	135	0
XRCC6	619	568	605	632	650	0
SNU13	88	141	145	123	115	0
RNU6-476P	0	0	0	0	0	0
C22orf46	0	3	6	1	8	0
MEI1	0	0	0	0	0	0
HMGN2P10	33	32	36	31	22	0
RNU6ATAC22P	0	0	0	0	0	0
CCDC134	8	5	4	3	2	0
RP5-821D11.7	0	0	0	0	2	0
SREBF2	152	136	164	166	126	0
MIR33A	0	0	0	0	0	0
SHISA8	0	0	0	0	0	0
TNFRSF13C	0	0	1	2	3	0
CENPM	32	16	28	14	24	0
LINC00634	0	0	0	0	0	0
SEPT3	0	0	0	0	0	0
CTA-250D10.19	0	0	0	0	0	0
WBP2NL	1	0	1	2	2	0
SLC25A5P1	10	17	10	7	18	0
NAGA	108	75	93	92	78	0
FAM109B	34	42	40	44	48	0
SNORD13P1	0	0	0	0	0	0
SMDT1	25	20	18	18	10	0
NDUFA6	54	67	58	64	68	0
RP1-257I20.14	2	2	0	2	1	0
NDUFA6-AS1	0	0	0	1	0	0
OLA1P1	128	127	93	131	101	0
CYP2D6	0	0	2	0	0	0
RP4-669P10.19	0	0	0	0	0	0
RP4-669P10.16	0	0	0	0	0	0
RP4-669P10.20	0	0	0	0	0	0
CYP2D7	0	0	0	0	0	0
CYP2D8P	0	0	0	0	0	0
TCF20	49	37	64	62	58	0
OGFRP1	0	0	0	0	0	0
Z83851.4	2	3	0	0	0	0
CTA-989H11.1	0	0	0	0	0	0
LINC01315	0	0	0	0	0	0
NFAM1	0	0	1	0	0	0
CTA-126B4.7	0	0	0	0	0	0
SERHL	2	1	0	0	0	0
RRP7A	57	66	61	49	52	0
SERHL2	5	5	3	6	2	0
RRP7BP	15	19	22	11	22	0
RN7SKP80	0	1	2	2	1	0
RNU6-513P	0	0	0	0	0	0
POLDIP3	119	130	164	122	124	0
RNU12	0	0	0	0	0	0
CYB5R3	373	387	396	428	416	0
ATP5L2	5	15	12	10	8	0
A4GALT	24	15	14	20	22	0
RPL5P34	280	262	255	279	261	0
GOLGA2P4	0	0	0	0	0	0
RP1-47A17.1	1	1	1	0	0	0
ARFGAP3	71	49	27	52	42	0
PACSIN2	126	124	128	147	112	0
AL049758.2	0	0	0	0	0	0
AL022476.2	0	0	0	0	0	0
TTLL1	12	18	18	7	10	0
AL022237.3	13	9	16	10	9	0
BIK	0	0	0	0	0	0
MCAT	14	26	21	16	14	0
TSPO	343	333	341	355	385	0
TTLL12	132	112	130	104	94	0
SCUBE1	15	12	10	14	11	0
Z82214.3	0	0	0	0	0	0
Z82214.2	0	0	0	0	0	0
Z99756.1	0	0	0	0	0	0
RP4-754E20__A.5	0	0	0	0	0	0
MPPED1	0	0	0	0	0	0
EFCAB6-AS1	0	1	0	0	0	0
EFCAB6	0	0	2	0	0	0
RP3-388M5.8	0	0	0	0	0	0
HMGN2P9	0	0	0	1	2	0
RP3-388M5.9	0	0	0	0	0	0
SULT4A1	0	0	0	0	0	0
PNPLA5	0	0	0	0	0	0
PNPLA3	0	2	2	0	4	0
SAMM50	53	47	63	53	54	0
RP4-796I17.5	23	21	19	33	27	0
PARVB	164	132	153	130	145	0
CTA-414D7.1	1	0	0	1	0	0
RP4-671O14.6	0	3	0	2	4	0
PARVG	0	0	0	0	0	0
RP4-671O14.5	0	0	0	0	0	0
RP4-671O14.7	0	0	1	1	0	0
KIAA1644	0	0	1	0	0	0
RP1-32I10.10	0	0	0	0	0	0
RP1-32I10.11	0	0	0	0	0	0
CTA-397C4.2	0	0	0	0	0	0
MRPS18CP6	0	1	0	1	0	0
RP5-1033E15.3	0	0	0	0	0	0
LDOC1L	74	62	102	78	80	0
KRT18P23	2	3	4	2	5	0
LINC00207	0	0	0	0	0	0
LINC00229	0	0	0	0	0	0
ANP32BP2	0	0	0	0	0	0
PRR5	3	1	4	3	8	0
PRR5-ARHGAP8	0	0	0	0	0	0
ARHGAP8	0	0	0	0	0	0
PHF21B	0	0	0	0	0	0
RP1-127B20.4	5	4	3	3	0	0
RP4-753M9.1	2	0	0	0	0	0
NUP50-AS1	7	5	5	4	1	0
CTA-217C2.2	0	0	0	0	1	0
NUP50	151	177	152	135	127	0
CTA-268H5.12	0	0	0	0	0	0
KIAA0930	123	83	107	78	132	0
MIR1249	0	0	0	0	0	0
CTA-268H5.14	0	0	0	0	0	0
CTA-268H5.9	0	0	0	0	0	0
UPK3A	0	0	0	0	0	0
FAM118A	12	24	31	14	28	0
SMC1B	0	0	0	0	0	0
RIBC2	2	0	0	0	0	0
RP1-102D24.5	0	0	0	0	0	0
FBLN1	4	2	0	8	10	0
LINC01589	0	0	0	0	0	0
RNU6-1161P	0	0	0	0	0	0
CTA-941F9.10	0	1	0	0	0	0
ATXN10	66	96	89	76	59	0
MIR4762	0	0	0	0	0	0
RP1-37M3.8	0	0	0	0	0	0
WI2-85898F10.2	0	0	0	0	0	0
WI2-85898F10.1	0	0	0	0	0	0
WNT7B	0	0	0	0	0	0
CITF22-92A6.2	0	0	0	0	0	0
CITF22-92A6.1	1	0	2	0	0	0
LINC00899	0	0	0	2	4	0
PRR34	3	1	3	1	1	0
RP6-109B7.5	0	0	0	0	0	0
PRR34-AS1	1	2	1	2	1	0
MIRLET7BHG	2	2	3	0	8	0
RP6-109B7.2	1	0	0	0	0	0
RP6-109B7.4	0	0	1	0	1	0
MIR3619	0	0	0	0	0	0
PPARA	18	9	27	13	14	0
RP4-695O20.1	0	0	0	0	0	0
CDPF1	12	4	12	16	6	0
PKDREJ	0	0	0	0	0	0
TTC38	61	84	63	63	54	0
GTSE1-AS1	0	0	0	0	0	0
GTSE1	76	74	88	82	98	0
TRMU	60	76	57	59	43	0
CELSR1	24	43	36	40	33	0
RP5-996D20.3	0	0	1	2	0	0
RP3-439F8.1	0	0	0	0	0	0
GRAMD4	24	18	22	16	28	0
CERK	237	255	218	200	188	0
CTA-29F11.1	2	8	4	0	2	0
TBC1D22A	41	43	44	45	47	0
U51561.1	0	0	0	0	0	0
FP325331.1	2	0	0	0	0	0
RP1-111J24.1	0	0	0	0	0	0
CITF22-49D8.1	0	0	0	0	0	0
LL22NC03-75H12.2	0	0	0	0	0	0
LINC00898	0	0	0	0	0	0
RP11-191L9.4	0	0	0	0	0	0
RP11-191L9.5	0	0	0	0	0	0
RP13-455A7.1	0	0	0	0	0	0
CTA-280A3.2	0	0	0	0	0	0
CTA-280A3__B.2	0	0	0	0	0	0
LL22NC03-27C5.1	0	0	0	0	0	0
LL22NC03-121E8.4	0	0	0	0	0	0
LL22NC03-121E8.3	0	0	0	0	0	0
MIR3201	0	0	0	0	0	0
RP11-536P6.3	0	0	0	0	0	0
FAM19A5	0	0	0	0	0	0
CTA-299D3.8	0	0	0	0	0	0
MIR4535	0	0	0	0	0	0
LINC01310	0	0	0	0	0	0
RPL35P8	1	0	0	1	0	0
RP1-34P24.3	0	0	0	0	0	0
C22orf34	1	4	2	0	9	0
CTA-722E9.1	0	0	0	0	0	0
RP4-566L20.1	0	0	0	0	0	0
MIR3667	0	0	0	0	0	0
RP1-29C18.10	0	0	0	0	0	0
RP1-29C18.9	0	0	2	0	0	0
RP1-29C18.8	0	0	0	0	0	0
RP5-983L19.2	0	0	0	0	0	0
RN7SKP252	0	0	0	0	0	0
RPL5P35	4	3	5	2	0	0
BRD1	63	60	93	67	59	0
RP3-522J7.7	0	0	0	1	0	0
RP3-522J7.5	0	0	0	0	0	0
RP3-522J7.6	0	0	0	0	0	0
RP11-494O16.3	0	0	0	0	0	0
RP11-494O16.4	0	0	0	1	0	0
ZBED4	73	76	85	95	68	0
ALG12	13	17	9	13	18	0
CITF22-1A6.3	0	0	0	0	0	0
CRELD2	48	61	68	61	48	0
CITF22-49E9.3	0	0	2	0	0	0
PIM3	204	215	236	230	252	0
MIR6821	1	0	1	0	0	0
IL17REL	0	0	0	0	0	0
TTLL8	0	0	0	0	0	0
MLC1	0	0	0	0	0	0
MOV10L1	22	10	13	20	22	0
RP5-898I4.1	0	0	1	0	1	0
PANX2	4	0	6	4	4	0
TRABD	110	84	60	72	81	0
RP3-402G11.25	0	0	0	0	0	0
RP3-402G11.26	2	0	0	0	2	0
SELO	39	45	27	43	35	0
RP3-402G11.27	0	0	0	0	0	0
RP3-402G11.28	0	2	0	0	0	0
TUBGCP6	58	66	52	36	55	0
HDAC10	2	0	0	2	2	0
MAPK12	67	68	53	49	65	0
MAPK11	35	52	69	62	47	0
PLXNB2	263	300	308	287	267	0
DENND6B	2	1	4	2	3	0
XX-C283C717.1	0	0	0	0	0	0
XX-C00717C00720L.1	0	0	0	0	0	0
PPP6R2	96	99	114	84	85	0
SBF1	183	149	144	187	193	0
ADM2	0	2	0	0	0	0
MIOX	0	0	0	0	0	0
LMF2	110	120	107	102	68	0
NCAPH2	18	39	30	27	40	0
SCO2	3	3	7	5	4	0
CTA-384D8.36	0	0	0	0	0	0
TYMP	2	0	2	0	0	0
ODF3B	1	0	0	2	0	0
CTA-384D8.35	0	0	0	0	0	0
CTA-384D8.34	0	0	0	0	0	0
CTA-384D8.31	0	0	0	0	0	0
KLHDC7B	0	0	0	0	0	0
SYCE3	0	0	0	0	0	0
CPT1B	0	0	0	0	0	0
CHKB-CPT1B	0	0	0	0	0	0
CHKB	0	0	0	0	0	0
CHKB-AS1	0	0	0	0	0	0
CTA-384D8.33	0	0	0	0	0	0
MAPK8IP2	0	0	0	2	0	0
ARSA	26	26	22	14	26	0
SHANK3	211	247	254	234	233	0
RNU6-409P	0	0	0	0	0	0
AC000036.4	0	0	0	0	0	0
ACR	0	1	0	4	0	0
AC002056.5	0	0	0	0	0	0
AC002056.3	45	51	57	44	53	0
RPL23AP82	53	48	64	73	69	0
RABL2B	25	28	16	36	18	0
ERCC-00002	0	0	0	0	0	0
ERCC-00003	0	0	0	0	0	0
ERCC-00004	0	0	0	0	0	0
ERCC-00009	0	0	0	0	0	0
ERCC-00012	0	0	0	0	0	0
ERCC-00013	0	0	0	0	0	0
ERCC-00014	0	0	0	0	0	0
ERCC-00016	0	0	0	0	0	0
ERCC-00017	0	0	0	0	0	0
ERCC-00019	0	0	0	0	0	0
ERCC-00022	0	0	0	0	0	0
ERCC-00024	0	0	0	0	0	0
ERCC-00025	0	0	0	0	0	0
ERCC-00028	0	0	0	0	0	0
ERCC-00031	0	0	0	0	0	0
ERCC-00033	0	0	0	0	0	0
ERCC-00034	0	0	0	0	0	0
ERCC-00035	0	0	0	0	0	0
ERCC-00039	0	0	0	0	0	0
ERCC-00040	0	0	0	0	0	0
ERCC-00041	0	0	0	0	0	0
ERCC-00042	0	0	0	0	0	0
ERCC-00043	0	0	0	0	0	0
ERCC-00044	0	0	0	0	0	0
ERCC-00046	0	0	0	0	0	0
ERCC-00048	0	0	0	0	0	0
ERCC-00051	0	0	0	0	0	0
ERCC-00053	0	0	0	0	0	0
ERCC-00054	0	0	0	0	0	0
ERCC-00057	0	0	0	0	0	0
ERCC-00058	0	0	0	0	0	0
ERCC-00059	0	0	0	0	0	0
ERCC-00060	0	0	0	0	0	0
ERCC-00061	0	0	0	0	0	0
ERCC-00062	0	0	0	0	0	0
